Metric,Scenario,Simulation Number,Timestep Number,Value
Total consumption budget,miningSiteExplorationProbability_0.1,0,0,0.10000000000000007
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,0,1.0
Final good output,miningSiteExplorationProbability_0.1,0,0,0.0
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,0,0.21914357682619645
Final good capital productivity,miningSiteExplorationProbability_0.1,0,0,2.0
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,0,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,0,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,0,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,0,0.3
Material price,miningSiteExplorationProbability_0.1,0,0,0.015
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,0,0.031535910252347456
Total ore reserves,miningSiteExplorationProbability_0.1,0,0,14530.762045676427
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,0,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,0,0.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,0,0.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,0,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,0,0.3647998749449602
Total NPL balance,miningSiteExplorationProbability_0.1,0,0,0.03333333333333333
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,0,0.06527966229458768
Total consumption budget,miningSiteExplorationProbability_0.1,0,1,3.585002400215321
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,1,1.0
Final good output,miningSiteExplorationProbability_0.1,0,1,18.000000000000004
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,1,0.22137404580152673
Final good capital productivity,miningSiteExplorationProbability_0.1,0,1,2.0
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,1,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,1,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,1,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,1,0.042410493827160486
Material price,miningSiteExplorationProbability_0.1,0,1,0.07394253739540578
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,1,0.030546314492722236
Total ore reserves,miningSiteExplorationProbability_0.1,0,1,14526.703995676427
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,1,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,1,0.0
Cumulative number of bankrupt material firms,miningSiteExplorationProbability_0.1,0,1,0.0
Cumulative number of bankrupt final good firms,miningSiteExplorationProbability_0.1,0,1,0.0
Total household dividend income,miningSiteExplorationProbability_0.1,0,1,0.17753963652444552
Total NPL balance,miningSiteExplorationProbability_0.1,0,1,0.06666666666666667
Commercial bank loan-to-deposit-ratio,miningSiteExplorationProbability_0.1,0,1,0.059645326336490063
Total consumption budget,miningSiteExplorationProbability_0.1,0,2,3.843575162227739
Weighted average sell price of final good,miningSiteExplorationProbability_0.1,0,2,0.0862091049382716
Final good output,miningSiteExplorationProbability_0.1,0,2,23.533333333333335
Renewable Energy market share,miningSiteExplorationProbability_0.1,0,2,0.22137404580152673
Final good capital productivity,miningSiteExplorationProbability_0.1,0,2,2.0
Renewable Energy capital productivity,miningSiteExplorationProbability_0.1,0,2,2.0
Fossil Fuel Energy capital productivity,miningSiteExplorationProbability_0.1,0,2,2.0
Material capital productivity,miningSiteExplorationProbability_0.1,0,2,2.0
Electricity price,miningSiteExplorationProbability_0.1,0,2,0.042654301895097155
Material price,miningSiteExplorationProbability_0.1,0,2,0.08042508717274713
Average ore extraction cost,miningSiteExplorationProbability_0.1,0,2,0.03335183986215764
Total ore reserves,miningSiteExplorationProbability_0.1,0,2,14515.849232889761
Material inventory of bankrupt material firms,miningSiteExplorationProbability_0.1,0,2,0.0
Cumulative number of bankruptcies,miningSiteExplorationProbability_0.1,0,2,0.0
